ID_Accidente,Fecha,Hora,Ubicacion,Operador,Número_Vuelo,Ruta,Tipo_Aeronave,Matricula,Número_Construccion,Total_Pasajeros,Pasajeros_A Bordo,Tripulacion_A Bordo,Total_Fallecidos,Fallecidos_Pasajeros,Fallecidos_Tripulacion,Fallecidos_En_Tierra,Resumen,Año
2503,1970-09-02,?,"Near Dnepropetrovsk, Ukraine, USSR",Aeroflot,?,?,Tupolev TU-124,CCCP-45012,1350502,37.0,,,37.0,,,0.0,Crashed while cruising at FL270.,1970
3509,1988-08-31,0919,"Kowloon Bay, Hong Kong",CAAC,301,Guangzhou - Hong Kong,Hawker Siddeley HS-121 Trident 2E,B-2218,2159,89.0,78.0,11.0,7.0,1.0,6.0,0.0,The right outboard flap of the plane hit the approach lights of Runway 31. The right main landing gear collapsed and the aircraft ran off the runway into the harbor.,1988
4266,2000-04-19,?,"Pepa ,Congo",Military - Centrafricain Airlines,?,"Pepa, Congo - Kigali, Rwanda",Antonov AN-8,TL-ACM,9340706,24.0,20.0,4.0,24.0,20.0,4.0,0.0,"The military flight crashed after losing its engines after striking birds,unable to return to land.",2000
1609,1957-01-23,1118,"Ometepe Island, Nicaragua",Lanica,?,San Carlos - Managua,Douglas DC-3,AN-AEC,12312,16.0,13.0,3.0,16.0,13.0,3.0,0.0,"The aircraft hit Concepcion volcano while en route. The aircraft made a left turn towards the volcano, banked sharply in descent, enered a rapid climb and then crashed. Unexplained loss of control.",1957
3357,1985-10-12,?,"Putao, Myanmar",Burma Airways,?,?,Fokker F-27 Friendship 600,XY-ADS,10501,4.0,2.0,2.0,4.0,2.0,2.0,0.0,The cargo plane overfew the runway and crashed one mile beyond the end.,1985
3956,1995-05-03,0045,"Quito, Ecuador",American Jet,?,Buenos Aires - La Paz - Quito,Grumman Gulfstream II,N409MA,083,7.0,5.0,2.0,7.0,5.0,2.0,0.0,"Crashed into Cerro Sincholagua mountain at 16,000 ft.  during an approach to Quito. Pilot fatigue may have been a factor.",1995
584,1940-07-07,?,Gulf of Tonkin,Air France,?,?,Dewoitine D-338,F-AQBA,1,4.0,,,4.0,,,0.0,Shot down by a Japanese military fighter.,1940
1907,1961-08-29,1822,"Sondreströmfjord, Greenland",Eastern Provincial Airways,?,?,de Havilland Canada DHC-3 Otter,CF-MEX,?,6.0,4.0,2.0,1.0,0.0,1.0,0.0,"An in-flight fire, initiated and sustained by a severe fuel leak. The fuel leak was caused by the locking of a carburetor drain plug to unscrew.",1961
4397,2002-07-01,2336,"Uberlingen, Germany",Bashkirian Airlines / DHL Worldwide Express,2937 / 611,Moscow-Munich-Barcelona / Bahrain/Brussels,Tupolev TU-154M / Boeing B-757-23APF,RA85816/A9C-DHL,1006 / 24635/258,71.0,57.0,14.0,71.0,57.0,14.0,0.0,"The airliner and cargo plane collided over southern Germany at 35,400 ft. Debris was spread across a 20 mile radius. Fifty-two children on a beach holiday were among the 69 aboard the Tupolev. The Tupolev pilot received contradictory instructions. The collision avoidance warning system (TCAS) told the pilot to ascend followed by an order from the Swiss air traffic controller to descend one second later. The Russian plane did not immediately respond to the tower's order to descend, so he repeated the command 14 seconds later. Thirty seconds later the two planes collided. The Tupolev's TCAS was telling the pilots to ascend. The Boeing's TCAS was telling the pilots to descend. The Swiss air traffic controller was telling the Tupolev's pilots to descend. The air traffic controller that guided the planes had no way of knowing the Russian pilot was receiving contradictory instruction from his cockpit TCAS unless told so by the pilot. Russian aviation officials said the pilot correctly gave precedence to the control tower, but Western aviation experts said pilots are trained to give precedence to the cockpit warning. In addition, the controller was left alone on duty while his partner went on a break and was preoccupied with another aircraft. This was accepted policy at Skyguide, the Swiss air control company. In addition, maintenance crews, working on the computer system, limited the controller's information he was receiving including conflict alert warnings. Sadly, one-and-a-half years later, the controller, Peter Nielsen, was stabbed to death by a Russian man who had lost his wife and two children in the accident.",2002
1669,1957-12-18,1235,"Near Birobidzhan, Russia",Aeroflot,10,Khabarovsk - Magdagachi - Irkutsk - Moscow,Ilyushin IL-12,CCCP-L1309,30 015,27.0,22.0,5.0,27.0,22.0,5.0,0.0,"In June 1958 the aircraft was found on the northwest slope of Mount Poktoy 30 km west of Birobidzhan completely destroyed and burned. Crews, ATC error.",1957
4207,1999-06-01,2350,"Little Rock, Arkansas",American Airlines,1420,Dallas-Fort Worth - Little Rock,McDonnell Douglas MD-82,N215AA,49163/1111,145.0,139.0,6.0,11.0,10.0,1.0,0.0,"The plane was on a flight from Dallas/Fort Worth, Texas to Little Rock, Arkansas. While attempting to land at Little Rock Airport, the flight encountered heavy thunderstorms, rain and strong winds. The aircraft landed fast and hard, skidded off the end of the runway and struck a landing light tower, breaking into three parts and bursting into flames. Crew's decision to continue the approach despite severe thunderstorms in the area and crosswinds that  exceeded American Airlines' guidelines. The crew did not arm the automatic spoiler system before landing or manually deploy the spoilers after touchdown. Fatigue, the crew had been awake for nearly 16 hours.",1999
3983,1995-09-12,0720,"Off Colombo, Sri Lanka",Military - Sri Lanka Air Force,?,Ratmalana - Palali base,Antonov AN-32,CR861,3502,81.0,76.0,5.0,81.0,76.0,5.0,0.0,"The pilot reported an instrument problem after taking off from Ratmalana Airport and was returning for an emergency landing when the plane fell from 8,000 feet and crashed into the sea.",1995
949,1947-03-05,0953,"Near Georgia, USSR",Aeroflot,?,Tbilisi - Moscow - Vnoukovo,Doublas C-47,CCCP-L952,14874/26319,23.0,19.0,4.0,23.0,19.0,4.0,0.0,"Crashed in the Cacasus mountains,Nizhnesvanetsky Range, while en route. Pilot error. Pilot in command changed the route of flight",1947
2988,1978-10-06,?,"Santiago de Chile, Chile",Military - US Navy,?,Military exercises,Douglas R6D-1 (DC-6),131618,43721/375,18.0,,,18.0,,,,"The military transport crashed into a fog-shrouded hill, 20 miles south of the city.",1978
486,1937-12-05,?,"Brindisi, Italy",Imperial Airways,?,?,Short S-23 (flying boat),G-ADUZ,S-817,8.0,4.0,4.0,2.0,1.0,1.0,0.0,"Stalled during takeoff and crashed into the sea. Wrong flap setting for takeoff, causing the aircraft to stall.",1937
1730,1958-10-22,1150,"Anzio, Italy",British European Airways,142,London - Napoli,Vickers Viscount 701C,G-ANHC,063,31.0,26.0,5.0,31.0,26.0,5.0,0.0,Midair collision with an Italian Air Force F-86. The airliner drifted off course. Neither pilot saw each other before they collided.,1958
1128,1949-08-09,?,"Salalah, Oman",Military - Royal Air Force,?,?,Douglas C-47B,KN336,15901/32649,12.0,,,12.0,,,0.0,Crashed short of the runway.,1949
2688,1973-06-20,2247,"Near Puerto Vallarta, Mexico",Aeromexico,?,Houston - Monterrey - Puerto Vallarta - Mexico City,McDonnell Douglas DC-9-15,XA-SOC,47100/153,27.0,22.0,5.0,27.0,22.0,5.0,0.0,"The aircraft hit high ground during an approach, 32 kms from the airport.",1973
3616,1989-12-30,?,Milford Sound,Air Fiordland,?,?,Cessna 207 / Cessna 207,ZK-DAX / ZK-DQF,131/53,5.0,4.0,1.0,5.0,4.0,1.0,0.0,"Midair collision. Five killed on ZA-DAX, ZK-DQF landed safely.",1989
